Company,Day,Date,Title,Apply,Location,Industry,Type,Description
Instacart,Friday,8/24/2018,Multiple Machine Learning & Data Scientist openings,Email,San Francisco,Ecommerce,Full Time,A passion for and track record of leveraging data to drive strategic company decisions and support key projects and initiatives
Environmental Defense Fund,Friday,8/24/2018,VoLo Data Science Fellowship,Website,"Boston, Washington, San Francisco, New York",Environment,Full Time,"Master’s degree in a quantitative discipline such as Mathematics, Computer Science, Physics, Statistics, Engineering, Economics, Bioinformatics, Computational Biology or related fields
3+ years of relevant work experience as a data scientist
Proficient in a scientific programming language such as Python, R
In-depth knowledge of the latest statistical and machine learning algorithms such as GBM, Light GBM, Random Forests, Neural Networks, Deep Learning as well as feature selection techniques
Experience with SQL
In depth knowledge of regression techniques: linear, ridge, logistical, etc. and able to interpret results
Ability to work independently and proficiently; accountable for own results
Ability to articulate technical data analytics concepts to managers and executives"
Federal Reserve Bank of NY,Tuesday,8/28/2018,Graduate Summer Associate Program- Data & Statistics Group,Website,New York,Finance,Full Time,"The mission of the Data Capabilities Office is to improve the FRBNY’s ability to effectively use data to support the FRBNY’s mission. The DCO is engaged in a multi-year effort to design and build out the FRBNY’s data management program.  The program is supported by two broad areas of practice, Analytics and Usability.   The Graduate Intern will contribute directly to meeting the Central Bank’s objectives towards driving our strategy on data, elevating the capacity for connecting and synthesizing the increasing scale of complex informational sources, and creating insightful analysis."
OccamzRazor,Tuesday,8/28/2018,Full Stack Engineer,Email,San Francisco,Technology,Full Time,"Strong software engineering experience in a technical domain
Knowledge of software design best practices
A willingness to develop a mutually shared knowledge base, and collaborate with our
biomedical research team.
Experience doing applied data science, or otherwise a general familiarity with the tips, tricks
and techniques for getting the most out of `real data’.
Experience deploying an ML based system commercially
Interest or experience in Machine Learning or statistical Natural Language Processing (other
relevant experience considered)."
Columbia School of Nursing,Wednesday,8/29/2018,Student Casual – Data & Visualization,Email,New York,Health,Internship,"Data from the patient safety climate and standard precaution surveys and observations will be pooled with HCW and HAI outcomes data and used to determine whether hospital units with better patient safety climate have better standard precaution adherence and have better HCW and patient outcomes. All multivariate analyses will be conducted at the hospital unit level of analysis and preceded by standard descriptive statistics to gain familiarity with the distributions and frequencies. Bivariate analyses will also be conducted to describe relationships among the key variables and include cross-tabulations and correlations as appropriate. Multilevel models (i.e., linear mixed models) will be used to estimate the effects of patient safety climate on standard precaution adherence and on HCW and patient outcomes after controlling hospital teaching status, bed size, rural-urban status and nursing skill mix."
Dia & Co.,Wednesday,8/29/2018,Data Team Fall Intern,Website,New York,Fashion,Internship,"We’re looking for a data team intern to improve our understanding of who our most loyal customers are and to provide insights on how to grow customer loyalty. You will collaborate with a Machine Learning Engineer to extract, transform, explore, analyze, and interpret data. As part of the project you will stitch data together from multiple sources, create hypotheses, and perform a statistically sound analysis. At the end of the roughly 8 to 12-week internship, you will summarize your analysis and findings in a report to the entire data team."
Trinnacle Capital Advisors,Wednesday,8/29/2018,Data Science Fall Internships,Email,New York,Finance,Internship,"Advanced skills and experience in Python
Experience in R
Experience in supervised and unsupervised machine learning
Experience in or willingness to learn Spark/Hadoop/Hive/SQL
Strong statistical mindset
Solution oriented and creative problem solver
No previous financial knowledge required, but added bonus"
Flatiron Health,Wednesday,8/29/2018,Data Insights Engineer,Website,New York,Health,Internship,"Data Insights is an entrepreneurial group of engineers that join Flatiron product teams to facilitate the process of market fit discovery, rapid prototyping and iteration.  We use engineering and data science tools to unlock the most value from our data. We talk with clients, work with oncology experts and code in Python, SQL, R or whatever it takes to advance our goal of dramatically accelerating cancer research and improving patient care. This mix of technical skills and client empathy allows us to accelerate our product development process and to take our products to the next level.
"
Flatiron Health,Wednesday,8/29/2018,Security Engineer,Website,New York,Health,Full Time,"The security team at Flatiron works every day to protect the company against threats so that our employees can focus on helping to cure cancer. We create attack driven defenses, not compliance. We are always looking for new approaches to our work and have cultivated a meritocracy where the best ideas rise to the top of the pile. We focus on results and not just debate: in fact, we are often architects, designers and engineers (not just advisors). We build credibility through action and results.
"
"
Off the Hook Partners",Wednesday,8/29/2018,Fall Data Science Internship,Email,New York,Finance,Internship,"We are looking for the following:
The ability to employ deep learning techniques and optimization protocols in order to better predict the thoroughbred wagering and auction markets. A lot of what we do is akin to derivatives and portfolio theories, arbitrage, etc. maybe even some potential for time series analysis. 
Linear Modelling from a SQL database - We have a proprietary database that requires extracting relevant data, subsequent data wrangling, analysis, and visualization - typically done in python.
Integrative Software Development - We are looking for developers who have the ability to integrate the predictive modelling approaches from points 1 and 2 with api access and typical web protocols. Students interested in automated trading systems would be ideal.
"
Startup Cartography Project,Friday,9/7/2018,Data Scientist,Email,New York,Finance,Full Time,"Experience collecting and working with qualitative and quantitative data.
Detail-oriented and high standards for work quality.
Enrollment in, or completion of a master’s degree program, in a related discipline.
Strong writing skills
Strong communication skills
Preferred Qualifications:
Experience with the analysis of quantitative data.
Knowledge of academic research."
Startup Cartography Project,Friday,9/7/2018,Data Strategist,Email,New York,Finance,Full Time,"In depth knowledge of Stata—including writing user-functions with parameters, working
with macros, and writing user do-files—a must.
Working knowledge of Python (in depth knowledge on Python can substitute for Stata).
Good communicator of information and an ability to work with different stakeholders in a loose environment.
Good communication and written skills.
Experience working with large datasets.
Experience working with a high-computing Linux environment.
Some knowledge of machine learning algorithms in Python such as scikit-learn or
statsmodels, NLTK and others.
Understanding of administrative datasets created by the U.S. Census and the Bureau of
Labor Statistics.
Some understanding of web server environments and deployment."
ADG Technology,Friday,9/7/2018,Data Scientist Fall Intern,Email,New York,Technology,Internship,We want to make decisions on the product and marketing based on hard data - and are looking for someone that will (1) help us visualize and pull insights from the data we gather and (2) work with our engineers to design the backend of our product to more easily capture valuable data. 
Fidelity Investments,Thursday,9/13/2018,"Data Scientist - AI, Machine Learning, Big Data",Onsite,New York,Finance,Full Time,"Fidelity’s  Artificial Intelligence Center of Excellence (COE) team contributes to the vitality and growth of the organization through researching and building complex, cutting edge and scalable AI algorithms, models, platforms and technologies to significantly improve customer experience and drive business results. Our team of high caliber scientists, mathematicians and statisticians use rigorous quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand.
"
Kemnay Advisory Services,Thursday,9/13/2018,"Data Scientist Fall Interns
",Email,New York,Finance,Internship,"Existing knowledge of advanced statistical methods (e.g. diverse regression techniques, time series forecasting, non?
parametric testing, machine learning methods, and Monte Carlo simulation) and strong mathematical proficiency are
required. This knowledge should be supported by successful completion of at least one semester’s course work in
a master’s degree program in one of the following disciplines: statistics, data science, mathematical and
quantitative finance, operations research. Other closely related disciplines may be considered if the candidate can
demonstrate he/she has the prerequisite knowledge.
? Programming proficiency with Matlab or a comparable language (Python or R) is essential for the role and proficiency
will be evaluated during the interview process.
? Strong communication skills and high proficiency in written and spoken English is required as the research process
is highly collaborative. Specifically, we seek candidates who can coherently communicate their thought processes as
well as organize their work product, including code, in a logical and transparent manner that facilitates peer review
and collaboration."
NYSCI,Thursday,9/13/2018,Research Associate,Website,New York,Technology,Internship,"Commitment to the philosophy and mission of the New York Hall of Science.
Up to date knowledge of the research literature on mathematics, engineering, or science learning.
Ability to work comfortably with young people in informal learning settings.
Experience working collaboratively with museum educators, exhibit designers, or other informal STEM education practitioners.
Experience designing and conducting all phases of education research using a variety of qualitative and quantitative methods.
Ability to organize, maintain and clean datasets derived from surveys or observational data.
Ability to conceptualize and develop research designs and methodologies, and expertise in organizing the logistics of field tests.
Experience supervising other researchers.
Strong communications skills with the ability to express ideas clearly both in written and oral communications."
Verisk Analytics,Tuesday,9/18/2018,Data Science Excellence Program,Email,New York,Finance,Internship,"Master’s degree in data science or data analytics
GPA of 3.5 or higher
Demonstrated skills in research and analysis
Excellent written and verbal communication skills
Professional internship experience plus a history of involvement
in school and community activities
Confidence, humility, and a commitment to excellence and
professional growth"
Palantir,Tuesday,9/18/2018,R&D Bioinformatics Fellowship,Website,Washington,Health,Full Time,"A recently completed Ph.D in a scientific field, or candidates pursuing a Ph.D in a scientific field
Research and course work demonstrating a familiarity with and an aptitude for data and statistics
The ability and desire to self-direct
Experience working with large-scale biological data (e.g. RNA- seq, single cell-seq, ATAC-Seq, Screening data, etc)
Excellent communication skills, and the ability to collaborate effectively across a team of engineers and biologists, chemists and clinical researchers
Coding / Scripting experience. Fellows do not need to be a computer scientist, but must be able to use scripting languages to accomplish analytical goals"
LDEO of Columbia University,Tuesday,9/18/2018,Computational Technology Internships – Fall 2018,Website,New York,Technology,Internship,"Currently enrolled as a full-time undergraduate or masters student in Computer Science, Engineering, or Data Science. Columbia University students strongly preferred.
At least two years of coding experience (formal or informal) in one or more languages commonly used in scientific computing (e.g., Python, R, Matlab, or Fortran).
Some experience with version control, test-driven software development, continuous integration, and other modern best practices in scientific software.
A desire to solve real world problems!"
City of NY – Commission on Human Rights,Friday,9/21/2018,Data Analyst,Website,New York,Government,Full Time,"Familiarity with maintaining, creating, and troubleshooting case tracking systems and
databases in a legal context, including but not limited to e-discovery or other systems
that contain sensitive and confidential information.
Familiarity with managing data for legal organizations.
Knowledge of data models, database design development, data mining and
segmentation techniques.
Strong knowledge of and experience with reporting tools such as Excel, SQL, Python,
R, PowerBI.
Strong statistical and analytical skills with the ability to collect, organize, analyze, and
disseminate significant amounts of information with attention to detail and accuracy.
BS in Mathematics, Computer Science, Information Management or Statistics
preferred.
Commitment to and experience serving the diverse communities of New York City.
Well-organized, assertive, and able to work independently and collaboratively.
Strong work ethic.
Excellent attention to detail and organizational skills.
Strong oral and written communication skills.
Strong people skills and leadership skills.
Fluency in a language other than English, preferably one common in New York City.
Proven working experience as a data analyst or business data analyst."
"NYC Department of Citywide Admin Services, Division of Energy Management",Friday,9/28/2018,Data Manager,Website,New York,Government,Full Time,"DEM seeks to hire a Manager, Load Management Analytics to work within the Load Management (“LM”) unit. This unit oversees Demand Response (“DR”), Load Management (“LM”), and Real-Time Metering (“RTM”) efforts in City buildings. The Load Management Analytics Manager will be responsible for developing and providing analytics and operational support for LM and DEM, including working closely with DEM’s O&M and M&V teams. 

The Analytics Manager will report to the Director of Load Management and Utility Affairs. S/he will help use RTM data to analyze potential and actual energy savings realized through operational improvements."
Big League Advance,Friday,9/28/2018,Data Scientist,Email,New York,Technology,Full Time,"Data scientist - predictive modeling. The role is some combination of statistician/mathematician/machine learning. We are looking for someone with significant experience in predictive analytics, proficient in R and/or Python, and with SQL experience.  Graduate degree in Statistics, Machine Learning, Mathematics, Computer Science, Econometrics or similar degree. Sports analytics experience preferred, but not required. A creative problem solver and critical thinker, attentive to detail.

 

Data engineer. We are looking for someone with significant experience in building data pipelines—extraction, automated cleaning, data modeling, and storage. Candidate must be comfortable working in a modern, cloud-based ecosystem, and adept with relational databases and at least one general purpose programming language.  "
Mercer,Friday,9/28/2018,Workforce Strategy & Analytics – Sr. Analyst,Email,New York,Technology,Full Time,"Master’s in economics, I-O or related psychology or labor relations, statistics or data science related field;
PhDs with strong quantitative backgrounds will be also be considered for more senior roles
Demonstrable record of conducting complex empirical analyses
Exceptional analytical and problem-solving skills
Exceptional statistical background, especially in multiple regression analysis and inferential statistics
Expert in working with large data sets
Self-direction and self-motivation (must be fully able to work without supervision)
Solid interpersonal skills - ability to work closely with other team members and handle sensitive client
interactions is crucial
Supervisory or training experience is highly valued"
Columbia Business School,Friday,9/28/2018,Staff Associate & Research Staff Associate,Email,New York,Finance,Full Time,"Columbia Business School is seeking to hire a staff officer of research. The Research Staff Associate will take an active role in on-going research projects in the Management Division. The work will include quantitative and qualitative research and analysis, collection, coordination and management of information and data, development of research materials (figures, presentations, papers, etc.), and work on special projects relating to what fields of research within the division.  This position provides an opportunity to gain experience in academic business research, with a special focus on fields such management, statistics, data science, and economics; and, would be ideal preparation for a PhD program or other graduate study."
Modern Meadow,Friday,9/28/2018,Data Scientist,Website,New York,Health,Full Time,"5+ years experience as a multi-faceted software engineer
Strong back-end orientation and experience architecting schemas and building databases 
Experience with scripting languages and building and maintaining data pipelines
Possess good organizational, communication, analytical and technical writing skills
Experience working with scientists on R&D systems would be beneficial
Background in machine learning / data science / statistics
Exceptional multitasking skills, attention to detail and ability to work independently Excellent communication and presentation skills. ? Self-motivated, passionate and comfortable working in a fast-paced environment. ?"
Purchase Order Financing Startup,Friday,9/28/2018,Co-founder and Head of Risk,Email,New York,Finance,Full Time,"Background in quantitative risk management 
Experience in data mining or data analytics
Experience in loss forcasting"
S&P Global,Friday,9/28/2018,Data Scientist,Onsite,New York,Finance,Full Time,"The Data science team is a newly formed applied research team within S&P Global Ratings that will be responsible for building and executing a bold vision around using Machine Learning, Natural Language Processing, Data Science, knowledge engineering, and human computer interfaces for augmenting various business processes."
Bloomberg,Friday,9/28/2018,Summer 2018 Internship,Website,New York,Finance,Internship,"Take ownership of projects under the guidance of your mentor
Be a collaborative member of your team
Have a deep understanding of data structures and algorithm
Be an excellent problem solver
Have programming experience in C, C++, Java or Python
Have a minimum GPA of 3.0
Be working toward a BA, BS, MS or PhD in Computer Science"
Recurve Asset Management,Friday,9/28/2018,Fall Intern,Email,New York,Finance,Internship,"Pursuing a Masters or PhD in Mathematics, Financial Engineering, Computer
Science, Data Science, Statistics (or a related subject)
Programming skills in Python, R, MATLAB or similar programming languages.
Strong analytical and quantitative skills
Previous hands-on experience in quantitative research, data science and
predictive modelling (Experience of working on real-world datasets is highly
desirable).
Ability to take ownership of projects, with a strong focus on quality and accuracy
Demonstrated interest in financial markets and systematic trading
Finance experience is not required."
Graham Capital Management,Friday,10/5/2018,Fall Data Science Intern,Website,New York,Finance,Internship,"As a Data Scientist Intern, you will work with a trading team within a multi-billion macro hedge fund. You will conduct a specific data science project using your skills in programming, statistics and natural language processing. The project will require you to: automate data collection & cleaning process, conduct data analysis, generate meaningful outputs and standardize certain analytical processes to put into production. You will have the opportunity to apply your data science skills to solve a real-world finance problem and gain exposure to global financial market."
IBM – Chief Analytics Office,Friday,10/5/2018,Data Science Summer Intern,Onsite,New York,Technology,Internship,"BA/BS in Data Science, Machine Learning, Statistics, or related STEM field
Proficiency in Python, R, SQL or another programming language
Experience or coursework in machine learning and/or natural language processing
Statistical modeling through software (e.g. SPSS) or programming language (e.g. Python)
Understanding of database and analytical technologies in the industry
Demonstrated ability to think strategically about business, product and technical
challenges in an enterprise environment
Excellent oral and written communication skills
Ability to collaborate in a team environment
Live or be willing to relocate to New York"
Johnson & Johnson,Friday,10/5/2018,Multiple Full Time Roles,Onsite,New York,Health,Full Time,"The R&D Data Science team within Janssen is looking for an outstanding senior scientist who is interested in designing, developing, and fielding impactful data science solutions. Our team supports projects from discovery through late development. The senior scientist will help identify viable data science opportunities and then conceive, develop and implement end to end data analytical solutions. There are many ways to explore and analyze data, and this drives the excitement and passion of data scientists at Janssen as many teams are eager to leverage data to drive scientific innovation. The senior scientist will be someone who stays on the cutting edge of the data science field in order to implement novel algorithms that influence decisions at various levels in the organization. The role requires both a broad knowledge of existing machine learning algorithms and creativity to invent and customize when necessary. The senior scientist will be part of a dynamic, accomplished team that supports multiple R&D therapeutic areas in the discovery and development of innovative medicines."
PepsiCo,Friday,10/5/2018,eCommerce Spring/Summer Data Science Intern,Onsite,New York,Ecommerce,Internship,"Master’s degree completed within one (1) year of internship completion
Minimum 1-3 years’ experience/familiarity with SQL and Python (Tensorflow experience preferred)
Experience developing deep learning systems (software release experience preferred)
Understanding of deep reinforcement learning systems
Experience in market data science modeling and analysis. eCommerce / Digital space experience preferred
Demonstrated problem solving skills
Highly organized with careful attention to detail
Ability to work and influence cross-functionally
Excellent verbal and written communication skills, especially when talking about business implications of
technical capabilities.
Embodies entrepreneurial mindset and key values of having a bias for action, results-oriented, community-
focused, and prioritization of people."
Blackstone,Friday,10/5/2018,Data Scientist – Full Time,Email,New York,Finance,Full Time,"Undergraduate degree from a top-tier university required
2-7 years of relevant experience in a data-driven professional setting
Proficiency in multiple programming and querying languages, including Python and SQL
Familiarity with big data analytical techniques and cloud technologies including Amazon
Web Services (AWS)
Foundation in statistics and mathematics
Comfortable working with, and combining, disparate and diverse data sources
A strong intuition for analytical methodologies and desire to solve novel technical
challenges
Excellence in balancing multiple projects and efficiently meet goals in a fast-paced
environment
Strong written and verbal communication
Ability to work independently as well as on a team
No previous experience in the financial services industry is required"
SecurityScorecard,Friday,10/5/2018,"Senior Product Manager, Analytics",Website,New York,Technology,Full Time,"Customer centric and highly analytical
Able to communicate about and make decisions related to data science concepts
Experience or strong interest in Cyber Security"
Foot Locker,Wednesday,10/10/2018,DATA SCIENTIST,Website,New York,Technology,Full Time,"Advanced SQL skills and is comfortable operating with relational data models and structure.
Advanced skills with NoSQL databases and can interact with large amounts of data stored in a Hadoop environment.
Is capable of accessing data via a variety of API/RESTful services.
Advanced programming skills in either R, Python, or similar analytical language.
Intermediate knowledge of Linux and Bash. Can interact with the OS at the command line and create shell scripts to automate workflows.
Experience with state of the art techniques such as AI and Deep Learning.
Advanced knowledge of Apache Spark.
Intermediate knowledge of cloud environments such as AWS and Azure.
Intermediate understanding of software development and collaboration, including experience with tools such as Git.
Exceptional written and verbal communication skills, comfortable presenting in front of large audiences.      
A basic understanding of Agile methodologies and continuous delivery.
Excellent data visualization skills, is able to determine the appropriate visualization for a variety of data types and create compelling stories with data.
An advanced understanding of supervised and unsupervised learning techniques including; variable selection, feature engineering, model generation, model diagnostics, and deployment.
Excellent statistical skills that are grounded in a thorough understanding of testing and frequentist/Bayesian methodologies.
A proven track record of leading successful projects and driving measurable, viable results using Data Science techniques."
Foot Locker,Wednesday,10/10/2018,PRINCIPAL DATA SCIENTIST,Website,New York,Technology,Full Time,"Advanced SQL skills and is comfortable operating with relational data models and structure.
Advanced/expert level skills with NoSQL databases and can interact with large amounts of data stored in a Hadoop environment.
Advance skills with accessing data via a variety of API/RESTful services.
Advanced/expert level programming skills in either R, Python, or similar analytical language.
Strong knowledge of Linux and Bash. Can interact with the OS at the command line and create shell scripts to automate workflows.
Advanced knowledge of Apache Spark.
Strong knowledge of cloud environments such as AWS and Azure.
Experience with popular Deep Learning frameworks such as Tensorflow, Keras, or Caffe.
Advanced understanding of software development and collaboration, including experience with tools such as Git.
Excellent written and verbal communication skills, comfortable presenting in front of large audiences.      
Can effectively and succulently decompose highly complex findings to non-technical audiences.
Excellent data visualization skills, is able to determine the appropriate visualization for a variety of data types and create compelling stories with data.
An advanced understanding of supervised and unsupervised learning techniques including; variable selection, feature engineering, model generation, model diagnostics, and deployment.
Excellent statistical skills that are grounded in a thorough understanding of testing and frequentist/Bayesian methodologies.
A proven track record of leading successful projects and driving measurable, viable results using Data Science techniques."
Wayfair,Wednesday,10/10/2018,Data Science Summer Intern,Website,Boston,Technology,Internship,"Currently enrolled in an undergraduate, Master’s, or PhD degree program at a top-tier institution with a strong academic track record.
Currently obtaining a Degree focused within either Statistics, Economics, Mathematics, Computer Science or other major with a heavy quantitative concentration.
An affinity for data along with experience leveraging statistics and regression analysis is a plus.
Experience with or an interest and ability to quickly learn SQL and Hadoop.
Experience with or interest and ability to quickly pick-up programming skills relevant to data science such as Python and R.
Quick learner with an analytical approach to solving problems who has good communication skills.
Must be a hard worker who enjoys solving challenging problems in a fast-paced environment."
Wayfair,Wednesday,10/10/2018,Operations Research Associate – Full Time,Website,Boston,Technology,Full Time,"Currently enrolled in a Master’s or PhD degree program at a top-tier institution with a strong academic track record.
Currently obtaining a degree focused within either Operations Research, Applied Mathematics, Industrial Engineering, Computer Science or a related field.
Strong knowledge of linear programming and mixed-integer programming
Experience implementing models with AMPL, R, Matlab, or similar tools.
Experience using Python, C++, Java, or similar languages.
Familiarity with data analysis."
